7zip	23.01+dfsg-11ubuntu0.1~esm1
libisl23:amd64	0.26-3build1.1
libitm1:amd64	14.2.0-4ubuntu2~24.04
libiw30t64:amd64	30~pre9-16.1ubuntu2
libjack-jackd2-0:amd64	1.9.21~dfsg-3ubuntu3
libjansson4:amd64	2.14-2build2
libjavascriptcoregtk-4.1-0:amd64	2.48.7-0ubuntu0.24.04.2
libjavascriptcoregtk-6.0-1:amd64	2.48.7-0ubuntu0.24.04.2
libjbig-dev:amd64	2.1-6.1ubuntu2
libjbig0:amd64	2.1-6.1ubuntu2
libjbig2dec0:amd64	0.20-1build3
libjcat1:amd64	0.2.0-2build3
libjpeg-dev:amd64	8c-2ubuntu11
libjpeg-turbo8:amd64	2.1.5-2ubuntu2
libjpeg-turbo8-dev:amd64	2.1.5-2ubuntu2
libjpeg8:amd64	8c-2ubuntu11
libjpeg8-dev:amd64	8c-2ubuntu11
libjq1:amd64	1.7.1-3ubuntu0.24.04.1
libjs-async	0.8.0-6
libjs-events	3.3.0+~3.0.0-3
libjs-highlight.js	9.18.5+dfsg1-2
libjs-inherits	2.0.4-6
libjs-is-typedarray	1.0.0-4
libjs-jquery	3.6.1+dfsg+~3.5.14-1
libjs-prettify	2015.12.04+dfsg-1.1
libjs-regenerate	1.4.2-3
libjs-source-map	0.7.0++dfsg2+really.0.6.1-15
libjs-sphinxdoc	7.2.6-6
libjs-sprintf-js	1.1.2+ds1+~1.1.2-1
libjs-typedarray-to-buffer	4.0.0-2
libjs-underscore	1.13.4~dfsg+~1.11.4-3
libjs-util	0.12.5+~1.0.10-1
libjson-c5:amd64	0.17-1build1
libjson-glib-1.0-0:amd64	1.8.0-2build2
libjson-glib-1.0-common	1.8.0-2build2
libjson-maybexs-perl	1.004005-1
libjson-perl	4.10000-1
libjson-xs-perl	4.040-0ubuntu0.24.04.1
libjsoncpp25:amd64	1.9.5-6build1
libjxl0.7:amd64	0.7.0-10.2ubuntu6.1
libjxr-tools	1.2~git20170615.f752187-5.1ubuntu2
libjxr0t64:amd64	1.2~git20170615.f752187-5.1ubuntu2
libk5crypto3:amd64	1.20.1-6ubuntu2.6
libkeybinder-3.0-0:amd64	0.3.2-1.1build2
libkeyutils1:amd64	1.6.3-3build1
libkf5archive-data	5.115.0-0ubuntu5
libkf5archive5:amd64	5.115.0-0ubuntu5
libkf5auth-data	5.115.0-0ubuntu5
libkf5authcore5:amd64	5.115.0-0ubuntu5
libkf5codecs-data	5.115.0-0ubuntu5
libkf5codecs5:amd64	5.115.0-0ubuntu5
libkf5config-bin	5.115.0-0ubuntu5
libkf5config-data	5.115.0-0ubuntu5
libkf5configcore5:amd64	5.115.0-0ubuntu5
libkf5configgui5:amd64	5.115.0-0ubuntu5
libkf5configwidgets-data	5.115.0-0ubuntu5
libkf5configwidgets5:amd64	5.115.0-0ubuntu5
libkf5coreaddons-data	5.115.0-0ubuntu5
libkf5coreaddons5:amd64	5.115.0-0ubuntu5
libkf5crash5:amd64	5.115.0-0ubuntu5
libkf5dbusaddons-bin	5.115.0-0ubuntu5
libkf5dbusaddons-data	5.115.0-0ubuntu5
libkf5dbusaddons5:amd64	5.115.0-0ubuntu5
libkf5guiaddons-bin	5.115.0-0ubuntu5
libkf5guiaddons-data	5.115.0-0ubuntu5
libkf5guiaddons5:amd64	5.115.0-0ubuntu5
libkf5i18n-data	5.115.0-0ubuntu6
libkf5i18n5:amd64	5.115.0-0ubuntu6
libkf5iconthemes-bin	5.115.0-0ubuntu6
libkf5iconthemes-data	5.115.0-0ubuntu6
libkf5iconthemes5:amd64	5.115.0-0ubuntu6
libkf5waylandclient5:amd64	4:5.115.0-0ubuntu5
libkf5widgetsaddons-data	5.115.0-0ubuntu4
libkf5widgetsaddons5:amd64	5.115.0-0ubuntu4
libkf5windowsystem-data	5.115.0-0ubuntu4
libkf5windowsystem5:amd64	5.115.0-0ubuntu4
libklibc:amd64	2.0.13-4ubuntu0.1
libkmod2:amd64	31+20240202-2ubuntu7.1
libkpathsea6:amd64	2023.20230311.66589-9build3
libkrb5-3:amd64	1.20.1-6ubuntu2.6
libkrb5support0:amd64	1.20.1-6ubuntu2.6
libksba8:amd64	1.6.6-1build1
liblapack3:amd64	3.12.0-3build1.1
liblc3-1:amd64	1.0.4-3build1
liblcms2-2:amd64	2.14-2build1
liblcms2-utils	2.14-2build1
libldacbt-abr2:amd64	2.0.2.3+git20200429+ed310a0-4ubuntu2
libldacbt-enc2:amd64	2.0.2.3+git20200429+ed310a0-4ubuntu2
libldap-common	2.6.7+dfsg-1~exp1ubuntu8.2
libldap2:amd64	2.6.7+dfsg-1~exp1ubuntu8.2
libldb2:amd64	2:2.8.0+samba4.19.5+dfsg-4ubuntu9.4
liblept5:amd64	1.82.0-3build4
liblerc-dev:amd64	4.0.0+ds-4ubuntu2
liblerc4:amd64	4.0.0+ds-4ubuntu2
libliftoff-dev:amd64	0.4.1-1
libliftoff0:amd64	0.4.1-1
liblilv-0-0:amd64	0.24.22-1build1
liblinear4:amd64	2.3.0+dfsg-5build1
libllvm15t64:amd64	1:15.0.7-14build3
libllvm18:amd64	1:18.1.3-1ubuntu1
libllvm20:amd64	1:20.1.2-0ubuntu1~24.04.2
libllvm20:i386	1:20.1.2-0ubuntu1~24.04.2
liblmdb0:amd64	0.9.31-1build1
liblocale-gettext-perl	1.07-6ubuntu5
liblocale-msgfmt-perl	0.15-2
liblouis-data	3.29.0-1build1
liblouis20:amd64	3.29.0-1build1
liblouisutdml-bin	2.12.0-3.1build1
liblouisutdml-data	2.12.0-3.1build1
liblouisutdml9t64:amd64	2.12.0-3.1build1
liblqr-1-0:amd64	0.4.2-2.1build2
liblrdf0:amd64	0.6.1-4build1
liblsan0:amd64	14.2.0-4ubuntu2~24.04
libltc11:amd64	1.3.2-1build1
libltdl-dev:amd64	2.4.7-7build1
libltdl7:amd64	2.4.7-7build1
liblua5.2-0:amd64	5.2.4-3build2
liblua5.3-0:amd64	5.3.6-2build2
liblua5.4-0:amd64	5.4.6-3build2
liblvm2cmd2.03:amd64	2.03.16-3ubuntu3.2
liblwp-mediatypes-perl	6.04-2
liblwp-protocol-https-perl	6.13-1
liblxc-common	1:5.0.3-2ubuntu7.2
liblxc1t64:amd64	1:5.0.3-2ubuntu7.2
liblz4-1:amd64	1.9.4-1build1.1
liblz4-1:i386	1.9.4-1build1.1
liblz4-dev:amd64	1.9.4-1build1.1
liblzma-dev:amd64	5.6.1+really5.4.5-1ubuntu0.2
liblzma5:amd64	5.6.1+really5.4.5-1ubuntu0.2
liblzma5:i386	5.6.1+really5.4.5-1ubuntu0.2
liblzo2-2:amd64	2.10-2build4
libm17n-0:amd64	1.8.4-1build2
libmagic-dev:amd64	1:5.45-3build1
libmagic-mgc	1:5.45-3build1
libmagic1t64:amd64	1:5.45-3build1
libmagickcore-6.q16-7-extra:amd64	8:6.9.12.98+dfsg1-5.2ubuntu0.1~esm3
libmagickcore-6.q16-7t64:amd64	8:6.9.12.98+dfsg1-5.2ubuntu0.1~esm3
libmagickwand-6.q16-7t64:amd64	8:6.9.12.98+dfsg1-5.2ubuntu0.1~esm3
libmailtools-perl	2.21-2
libmalcontent-0-0:amd64	0.11.1-1ubuntu1.2
libmanette-0.2-0:amd64	0.2.7-1build2
libmarisa0:amd64	0.2.6-14ubuntu4
libmate-desktop-2-17t64:amd64	1.26.2-1.1build3
libmaxminddb0:amd64	1.9.1-1build1
libmbedcrypto7t64:amd64	2.28.8-1
libmbim-glib4:amd64	1.31.2-0ubuntu3
libmbim-proxy	1.31.2-0ubuntu3
libmbim-utils	1.31.2-0ubuntu3
libmd-dev:amd64	1.1.0-2build1.1
libmd0:amd64	1.1.0-2build1.1
libmd0:i386	1.1.0-2build1.1
libmd4c0:amd64	0.4.8-1build1
libmediaart-2.0-0:amd64	1.9.6-1build2
libmfx1:amd64	22.5.4-1
libmime-charset-perl	1.013.1-2
libminizip1t64:amd64	1:1.3.dfsg-3.1ubuntu2.1
libmjpegutils-2.1-0t64:amd64	1:2.1.0+debian-8.1build1
libmm-glib0:amd64	1.23.4-0ubuntu2
libmnl0:amd64	1.0.5-2build1
libmodplug1:amd64	1:0.8.9.0-3build1
libmodule-implementation-perl	0.09-2
libmodule-runtime-perl	0.016-2
libmodulemd2:amd64	2.14.0-3build2
libmoo-perl	2.005005-1
libmount-dev:amd64	2.39.3-9ubuntu6.3
libmount1:amd64	2.39.3-9ubuntu6.3
libmount1:i386	2.39.3-9ubuntu6.3
libmousepad0:amd64	0.6.1-1build2
libmozjs-115-0t64:amd64	115.10.0-1
libmozjs-115-dev	115.10.0-1
libmp3lame0:amd64	3.100-6build1
libmpc3:amd64	1.3.1-1build1.1
libmpcdec6:amd64	2:0.1~r495-2build1
libmpdclient-dev:amd64	2.22-1.1build1
libmpdclient2t64:amd64	2.22-1.1build1
libmpeg2encpp-2.1-0t64:amd64	1:2.1.0+debian-8.1build1
libmpfr6:amd64	4.2.1-1build1.1
libmpg123-0t64:amd64	1.32.5-1ubuntu1.1
libmplex2-2.1-0t64:amd64	1:2.1.0+debian-8.1build1
libmsgraph-0-1:amd64	0.2.1-0ubuntu3
libmspack0t64:amd64	0.11-1.1build1
libmtdev-dev:amd64	1.1.6-1.1build1
libmtdev1t64:amd64	1.1.6-1.1build1
libmtp-common	1.1.21-3.1build1
libmtp-runtime	1.1.21-3.1build1
libmtp9t64:amd64	1.1.21-3.1build1
libmujs3:amd64	1.3.3-3build2
libmutter-14-0:amd64	46.2-1ubuntu0.24.04.10
libmysofa1:amd64	1.3.2+dfsg-2ubuntu2
libnamespace-clean-perl	0.27-2
libnautilus-extension4:amd64	1:46.4-0ubuntu0.1
libncurses-dev:amd64	6.4+20240113-1ubuntu2
libncurses6:amd64	6.4+20240113-1ubuntu2
libncursesw6:amd64	6.4+20240113-1ubuntu2
libncursesw6:i386	6.4+20240113-1ubuntu2
libndctl6:amd64	77-2ubuntu2
libndp0:amd64	1.8-1fakesync1ubuntu0.24.04.1
libneon27t64:amd64	0.33.0-1.1build3
libnet-dbus-glib-perl	0.33.0-4build4
libnet-dbus-perl	1.2.0-2build3
libnet-http-perl	6.23-1
libnet-oauth-perl	0.28-4
libnet-smtp-ssl-perl	1.04-2
libnet-ssleay-perl:amd64	1.94-1build4
libnetfilter-conntrack3:amd64	1.0.9-6build1
libnetpbm11t64:amd64	2:11.05.02-1.1build1
libnetplan1:amd64	1.1.2-2~ubuntu24.04.2
libnettle8t64:amd64	3.9.1-2.2build1.1
libnewt0.52:amd64	0.52.24-2ubuntu2
libnfnetlink0:amd64	1.0.2-2build1
libnfs14:amd64	5.0.2-1build1
libnfsidmap1:amd64	1:2.6.4-3ubuntu5.1
libnftables1:amd64	1.0.9-1build1
libnftnl11:amd64	1.2.6-2build1
libnghttp2-14:amd64	1.59.0-1ubuntu0.2
libnghttp2-dev:amd64	1.59.0-1ubuntu0.2
libnghttp3-3:amd64	0.8.0-2
libnice10:amd64	0.1.21-2build3
libnl-3-200:amd64	3.7.0-0.3build1.1
libnl-3-dev:amd64	3.7.0-0.3build1.1
libnl-genl-3-200:amd64	3.7.0-0.3build1.1
libnl-route-3-200:amd64	3.7.0-0.3build1.1
libnm0:amd64	1.46.0-1ubuntu2.3
libnma-common	1.10.6-3build2
libnma-gtk4-0:amd64	1.10.6-3build2
libnma0:amd64	1.10.6-3build2
libnode-dev	18.19.1+dfsg-6ubuntu5
libnode109:amd64	18.19.1+dfsg-6ubuntu5
libnorm1t64:amd64	1.5.9+dfsg-3.1build1
libnotify-bin	0.8.3-1build2
libnotify4:amd64	0.8.3-1build2
libnpth0t64:amd64	1.6-3.1build1
libnspr4:amd64	2:4.35-1.1build1
libnspr4-dev	2:4.35-1.1build1
libnss-mdns:amd64	0.15.1-4build1
libnss-sss:amd64	2.9.4-1.1ubuntu6.3
libnss-systemd:amd64	255.4-1ubuntu8.11
libnss3:amd64	2:3.98-1build1
libnss3-dev:amd64	2:3.98-1build1
libntfs-3g89t64:amd64	1:2022.10.3-1.2ubuntu3
libntlm0:amd64	1.7-1build1
libnuma1:amd64	2.0.18-1build1
libnumber-bytes-human-perl	0.11-4
libnvidia-cfg1-580:amd64	580.65.06-0ubuntu0.24.04.4
libnvidia-common-580	580.95.05-0ubuntu0.24.04.2
libnvidia-compute-580:amd64	580.65.06-0ubuntu0.24.04.4
libnvidia-compute-580:i386	580.65.06-0ubuntu0.24.04.4
libnvidia-decode-580:amd64	580.65.06-0ubuntu0.24.04.4
libnvidia-decode-580:i386	580.65.06-0ubuntu0.24.04.4
libnvidia-egl-wayland1:amd64	1:1.1.13-1build1
libnvidia-egl-wayland1:i386	1:1.1.13-1build1
libnvidia-encode-580:amd64	580.65.06-0ubuntu0.24.04.4
libnvidia-encode-580:i386	580.65.06-0ubuntu0.24.04.4
libnvidia-extra-580:amd64	580.65.06-0ubuntu0.24.04.4
libnvidia-fbc1-580:amd64	580.65.06-0ubuntu0.24.04.4
libnvidia-fbc1-580:i386	580.65.06-0ubuntu0.24.04.4
libnvidia-gl-580:amd64	580.65.06-0ubuntu0.24.04.4
libnvidia-gl-580:i386	580.65.06-0ubuntu0.24.04.4
libnvme1t64	1.8-3ubuntu1
libobjc-13-dev:amd64	13.3.0-6ubuntu2~24.04
libobjc4:amd64	14.2.0-4ubuntu2~24.04
libogg0:amd64	1.3.5-3build1
libonig5:amd64	6.9.9-1build1
libopenal-data	1:1.23.1-4build1
libopenal1:amd64	1:1.23.1-4build1
libopencc-data	1.1.7+ds1-1build1
libopencc1.1	1.1.7+ds1-1build1
libopencore-amrnb0:amd64	0.1.6-1build1
libopenexr-3-1-30:amd64	3.1.5-5.1build3
libopengl-dev:amd64	1.7.0-1build1
libopengl0:amd64	1.7.0-1build1
libopenh264-7:amd64	2.4.1+dfsg-1
libopenjp2-7:amd64	2.5.0-2ubuntu0.4
libopenmpt0t64:amd64	0.7.3-1.1build3
libopenni2-0:amd64	2.2.0.33+dfsg-18
libopus0:amd64	1.4-1build1
liborc-0.4-0t64:amd64	1:0.4.38-1ubuntu0.1
liborc-0.4-dev:amd64	1:0.4.38-1ubuntu0.1
liborc-0.4-dev-bin	1:0.4.38-1ubuntu0.1
libostree-1-1:amd64	2024.5-1build2
libotf1:amd64	0.9.16-4build2
libp11-kit-dev:amd64	0.25.3-4ubuntu2.1
libp11-kit0:amd64	0.25.3-4ubuntu2.1
libpackage-stash-perl	0.40-1
libpackage-stash-xs-perl:amd64	0.30-1build4
libpackagekit-glib2-18:amd64	1.2.8-2ubuntu1.2
libpam-cap:amd64	1:2.66-5ubuntu2.2
libpam-cgfs:amd64	1:5.0.3-2ubuntu7.2
libpam-fprintd:amd64	1.94.3-1
libpam-gnome-keyring:amd64	46.1-2build1
libpam-modules:amd64	1.5.3-5ubuntu5.5
libpam-modules-bin	1.5.3-5ubuntu5.5
libpam-pwquality:amd64	1.4.5-3build1
libpam-runtime	1.5.3-5ubuntu5.5
libpam-sss:amd64	2.9.4-1.1ubuntu6.3
libpam-systemd:amd64	255.4-1ubuntu8.11
libpam0g:amd64	1.5.3-5ubuntu5.5
libpam0g-dev:amd64	1.5.3-5ubuntu5.5
libpango-1.0-0:amd64	1.52.1+ds-1build1
libpango-perl	1.227-4build4
libpango1.0-dev:amd64	1.52.1+ds-1build1
libpangocairo-1.0-0:amd64	1.52.1+ds-1build1
libpangoft2-1.0-0:amd64	1.52.1+ds-1build1
libpangomm-1.4-1v5:amd64	2.46.4-1build3
libpangomm-2.48-1t64:amd64	2.52.0-1build1
libpangoxft-1.0-0:amd64	1.52.1+ds-1build1
libpaper-utils	1.1.29build1
libpaper1:amd64	1.1.29build1
libparams-classify-perl:amd64	0.015-2build5
libparted-fs-resize0t64:amd64	3.6-4build1
libparted2t64:amd64	3.6-4build1
libpath-class-perl	0.37-4
libpath-utils1t64:amd64	0.6.2-2.1build1
libpcap0.8t64:amd64	1.10.4-4.1ubuntu3
libpcaudio0:amd64	1.2-2build3
libpci3:amd64	1:3.10.0-2build1
libpciaccess-dev:amd64	0.17-3ubuntu0.24.04.2
libpciaccess0:amd64	0.17-3ubuntu0.24.04.2
libpciaccess0:i386	0.17-3ubuntu0.24.04.2
libpcre2-16-0:amd64	10.42-4ubuntu2.1
libpcre2-32-0:amd64	10.42-4ubuntu2.1
libpcre2-8-0:amd64	10.42-4ubuntu2.1
libpcre2-8-0:i386	10.42-4ubuntu2.1
libpcre2-dev:amd64	10.42-4ubuntu2.1
libpcre2-posix3:amd64	10.42-4ubuntu2.1
libpcsclite1:amd64	2.0.3-1build1
libpeas-1.0-0:amd64	1.36.0-3build4
libpeas-common	1.36.0-3build4
libperl5.38t64:amd64	5.38.2-3.2ubuntu0.2
libpfm4:amd64	4.13.0+git32-g0d4ed0e-1
libpgm-5.3-0t64:amd64	5.3.128~dfsg-2.1build1
libphonenumber8:amd64	8.12.57+ds-4.2build3
libpinyin-data:amd64	2.8.1-1build3
libpinyin15:amd64	2.8.1-1build3
libpipeline1:amd64	1.5.7-2
libpipewire-0.3-0t64:amd64	1.0.5-1ubuntu3.1
libpipewire-0.3-common	1.0.5-1ubuntu3.1
libpipewire-0.3-dev:amd64	1.0.5-1ubuntu3.1
libpipewire-0.3-modules:amd64	1.0.5-1ubuntu3.1
libpixman-1-0:amd64	0.42.2-1build1
libpixman-1-dev:amd64	0.42.2-1build1
libpkcs11-helper1t64:amd64	1.29.0-2.1build2
libpkgconf3:amd64	1.8.1-2build1
libplacebo338:amd64	6.338.2-2build1
libplayerctl2:amd64	2.4.1-2build2
libplist-2.0-4:amd64	2.3.0-1~exp2build2
libplist-dev:amd64	2.3.0-1~exp2build2
libplymouth5:amd64	24.004.60-1ubuntu7.1
libpmem1:amd64	1.13.1-1.1ubuntu2
libpmemobj1:amd64	1.13.1-1.1ubuntu2
libpng-dev:amd64	1.6.43-5build1
libpng-tools	1.6.43-5build1
libpng16-16t64:amd64	1.6.43-5build1
libpocketsphinx3:amd64	0.8.0+real5prealpha+1-15ubuntu5
libpolkit-agent-1-0:amd64	124-2ubuntu1.24.04.2
libpolkit-gobject-1-0:amd64	124-2ubuntu1.24.04.2
libpolkit-qt5-1-1:amd64	0.200.0-1build4
libpoppler-cpp0t64:amd64	24.02.0-1ubuntu9.7
libpoppler-glib8t64:amd64	24.02.0-1ubuntu9.7
libpoppler134:amd64	24.02.0-1ubuntu9.7
libpopt0:amd64	1.19+dfsg-1build1
libportal-gtk4-1:amd64	0.7.1-5build5
libportal1:amd64	0.7.1-5build5
libpostproc-dev:amd64	7:6.1.1-3ubuntu5+esm6
libpostproc57:amd64	7:6.1.1-3ubuntu5+esm6
libppd2:amd64	2:2.0.0-0ubuntu4.1
libppd2-common	2:2.0.0-0ubuntu4.1
libpq5:amd64	16.10-0ubuntu0.24.04.1
libproc-processtable-perl:amd64	0.636-1build3
libproc-simple-perl	1.32-3
libproc2-0:amd64	2:4.0.4-4ubuntu3.2
libprotobuf-c1:amd64	1.4.1-1ubuntu4
libprotobuf32t64:amd64	3.21.12-8.2ubuntu0.2
libproxy1-plugin-gsettings:amd64	0.5.4-4build1
libproxy1-plugin-networkmanager:amd64	0.5.4-4build1
libproxy1v5:amd64	0.5.4-4build1
libpsl-dev:amd64	0.21.2-1.1build1
libpsl5t64:amd64	0.21.2-1.1build1
libpthread-stubs0-dev:amd64	0.4-1build3
libpulse-dev:amd64	1:16.1+dfsg1-2ubuntu10.1
libpulse-mainloop-glib0:amd64	1:16.1+dfsg1-2ubuntu10.1
libpulse0:amd64	1:16.1+dfsg1-2ubuntu10.1
libpwquality-common	1.4.5-3build1
libpwquality1:amd64	1.4.5-3build1
libpython3-dev:amd64	3.12.3-0ubuntu2
libpython3-stdlib:amd64	3.12.3-0ubuntu2
libpython3.12-dev:amd64	3.12.3-1ubuntu0.8
libpython3.12-minimal:amd64	3.12.3-1ubuntu0.8
libpython3.12-stdlib:amd64	3.12.3-1ubuntu0.8
libpython3.12t64:amd64	3.12.3-1ubuntu0.8
libqalculate-data	4.9.0-1.1build2
libqalculate22t64:amd64	4.9.0-1.1build2
libqmi-glib5:amd64	1.35.2-0ubuntu2
libqmi-proxy	1.35.2-0ubuntu2
libqmi-utils	1.35.2-0ubuntu2
libqpdf29t64:amd64	11.9.0-1.1build1
libqrencode4:amd64	4.1.1-1build2
libqrtr-glib0:amd64	1.2.2-1ubuntu4
libqt5core5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5dbus5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5gui5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5network5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5positioning5:amd64	5.15.13+dfsg-1
libqt5printsupport5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5qml5:amd64	5.15.13+dfsg-1ubuntu0.1
libqt5qmlmodels5:amd64	5.15.13+dfsg-1ubuntu0.1
libqt5qmlworkerscript5:amd64	5.15.13+dfsg-1ubuntu0.1
libqt5quick5:amd64	5.15.13+dfsg-1ubuntu0.1
libqt5sensors5:amd64	5.15.13-1
libqt5svg5:amd64	5.15.13-1
libqt5waylandclient5:amd64	5.15.13-1
libqt5waylandcompositor5:amd64	5.15.13-1
libqt5webchannel5:amd64	5.15.13-1
libqt5webkit5:amd64	5.212.0~alpha4-36
libqt5widgets5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5x11extras5:amd64	5.15.13-1
libqt6concurrent6t64:amd64	6.4.2+dfsg-21.1build5
libqt6core5compat6:amd64	6.4.2-4build3
libqt6core6t64:amd64	6.4.2+dfsg-21.1build5
libqt6dbus6t64:amd64	6.4.2+dfsg-21.1build5
libqt6gui6t64:amd64	6.4.2+dfsg-21.1build5
libqt6multimedia6:amd64	6.4.2-11build3
libqt6network6t64:amd64	6.4.2+dfsg-21.1build5
libqt6opengl6t64:amd64	6.4.2+dfsg-21.1build5
libqt6openglwidgets6t64:amd64	6.4.2+dfsg-21.1build5
libqt6printsupport6t64:amd64	6.4.2+dfsg-21.1build5
libqt6qml6:amd64	6.4.2+dfsg-4build3
libqt6qmlmodels6:amd64	6.4.2+dfsg-4build3
libqt6quick6:amd64	6.4.2+dfsg-4build3
libqt6sql6-sqlite:amd64	6.4.2+dfsg-21.1build5
libqt6sql6t64:amd64	6.4.2+dfsg-21.1build5
libqt6svg6:amd64	6.4.2-4ubuntu3
libqt6test6t64:amd64	6.4.2+dfsg-21.1build5
libqt6waylandclient6:amd64	6.4.2-5build3
libqt6waylandcompositor6:amd64	6.4.2-5build3
libqt6waylandeglclienthwintegration6:amd64	6.4.2-5build3
libqt6waylandeglcompositorhwintegration6:amd64	6.4.2-5build3
libqt6widgets6t64:amd64	6.4.2+dfsg-21.1build5
libqt6wlshellintegration6:amd64	6.4.2-5build3
libqt6xml6t64:amd64	6.4.2+dfsg-21.1build5
libquadmath0:amd64	14.2.0-4ubuntu2~24.04
librabbitmq4:amd64	0.11.0-1build2
librados2	19.2.1-0ubuntu0.24.04.2
libraptor2-0:amd64	2.0.16-3ubuntu0.1
libraqm0:amd64	0.10.1-1build1
librav1e0:amd64	0.7.1-2
libraw1394-11:amd64	2.1.2-2build3
libraw23t64:amd64	0.21.2-2.1ubuntu0.24.04.1
librbd1	19.2.1-0ubuntu0.24.04.2
librdmacm1t64:amd64	50.0-2ubuntu0.2
libre2-10:amd64	20230301-3build1
libreadline8t64:amd64	8.2-4build1
libreadonly-perl	2.050-3
libref-array1t64:amd64	0.6.2-2.1build1
librepo0:amd64	1.14.5-3.1ubuntu4
librest-1.0-0:amd64	0.9.1-6build3
librhash0:amd64	1.4.3-3build1
librist4:amd64	0.2.10+dfsg-2
libroc0.3:amd64	0.3.0+dfsg-7ubuntu2
librole-tiny-perl	2.002004-1
librpm9t64	4.18.2+dfsg-2.1build2
librpmbuild9t64	4.18.2+dfsg-2.1build2
librpmio9t64	4.18.2+dfsg-2.1build2
librpmsign9t64	4.18.2+dfsg-2.1build2
librsvg2-2:amd64	2.58.0+dfsg-1build1
librsvg2-common:amd64	2.58.0+dfsg-1build1
librsvg2-dev:amd64	2.58.0+dfsg-1build1
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2build7
librubberband2:amd64	3.3.0+dfsg-2build1
libruby:amd64	1:3.2~ubuntu1
libruby3.2:amd64	3.2.3-1ubuntu0.24.04.6
librygel-core-2.8-0:amd64	0.42.5-1ubuntu3
librygel-db-2.8-0:amd64	0.42.5-1ubuntu3
librygel-renderer-2.8-0:amd64	0.42.5-1ubuntu3
librygel-server-2.8-0:amd64	0.42.5-1ubuntu3
libsamplerate0:amd64	0.2.2-4build1
libsamplerate0-dev:amd64	0.2.2-4build1
libsane-common	1.2.1-7build4
libsane-hpaio:amd64	3.23.12+dfsg0-0ubuntu5
libsane1:amd64	1.2.1-7build4
libsasl2-2:amd64	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules:amd64	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules-db:amd64	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules-gssapi-mit:amd64	2.1.28+dfsg1-5ubuntu3.1
libsbc1:amd64	2.0-1build1
libsdbus-c++-dev:amd64	1.4.0-2
libsdbus-c++1:amd64	1.4.0-2
libsdl2-2.0-0:amd64	2.30.0+dfsg-1ubuntu3.1
libsdl2-dev:amd64	2.30.0+dfsg-1ubuntu3.1
libseat-dev:amd64	0.8.0-1
libseat1:amd64	0.8.0-1
libseccomp2:amd64	2.5.5-1ubuntu3.1
libsecret-1-0:amd64	0.21.4-1build3
libsecret-common	0.21.4-1build3
libselinux1:amd64	3.5-2ubuntu2.1
libselinux1:i386	3.5-2ubuntu2.1
libselinux1-dev:amd64	3.5-2ubuntu2.1
libsemanage-common	3.5-1build5
libsemanage2:amd64	3.5-1build5
libsensors-config	1:3.6.0-9build1
libsensors5:amd64	1:3.6.0-9build1
libsensors5:i386	1:3.6.0-9build1
libsepol-dev:amd64	3.5-2build1
libsepol2:amd64	3.5-2build1
libserd-0-0:amd64	0.32.2-1
libsframe1:amd64	2.42-4ubuntu2.6
libsharpyuv-dev:amd64	1.3.2-0.4build3
libsharpyuv0:amd64	1.3.2-0.4build3
libshine3:amd64	3.1.1-2build1
libshout3:amd64	2.4.6-1build2
libsigc++-2.0-0v5:amd64	2.12.1-2
libsigc++-3.0-0:amd64	3.6.0-2
libsigsegv2:amd64	2.14-1ubuntu2
libsixel-bin	1.10.3-3build1
libsixel1:amd64	1.10.3-3build1
libslang2:amd64	2.3.3-3build2
libslirp0:amd64	4.7.0-1ubuntu3
libsm-dev:amd64	2:1.2.3-1build3
libsm6:amd64	2:1.2.3-1build3
libsmartcols1:amd64	2.39.3-9ubuntu6.3
libsmbclient0:amd64	2:4.19.5+dfsg-4ubuntu9.4
libsmi2t64:amd64	0.4.8+dfsg2-16.1build1
libsnapd-glib-2-1:amd64	1.64-0ubuntu5
libsnappy1v5:amd64	1.1.10-1build1
libsndfile1:amd64	1.2.2-1ubuntu5.24.04.1
libsndio-dev:amd64	1.9.0-0.3build3
libsndio7.0:amd64	1.9.0-0.3build3
libsnmp-base	5.9.4+dfsg-1.1ubuntu3.1
libsnmp40t64:amd64	5.9.4+dfsg-1.1ubuntu3.1
libsodium23:amd64	1.0.18-1build3
libsolv1:amd64	0.7.28-1build2
libsolvext1:amd64	0.7.28-1build2
libsombok3:amd64	2.4.0-2build1
libsonic0:amd64	0.2.0-13build1
libsord-0-0:amd64	0.16.16-2build1
libsort-naturally-perl	1.03-4
libsoundtouch1:amd64	2.3.2+ds1-1build1
libsoup-2.4-1:amd64	2.74.3-6ubuntu1.6
libsoup-3.0-0:amd64	3.4.4-5ubuntu0.5
libsoup-3.0-common	3.4.4-5ubuntu0.5
